/scratch/sdlab/john/nucmer_regen/assembly.fasta	/scratch/sdlab/john/nucmer_regen/reference.fasta
NUCMER
IDY]	[S1]	[E1]	[COV	[S2]	[E2]	[LEN	1]
scaffold9_size10157462_pilon	6036643	6036823	chromosome_1	1348510	1348690	181	181
scaffold8_size5106655_pilon	4568991	4570612	chromosome_1	1139705	1141326	1622	1622
scaffold1_size20154211_pilon	246592	260189	chromosome_1	8033585	8019982	13598	13604
scaffold1_size20154211_pilon	266448	397369	chromosome_1	8019982	7889083	130922	130900
scaffold1_size20154211_pilon	397888	454370	chromosome_1	7888982	7832494	56483	56489
scaffold1_size20154211_pilon	454366	491448	chromosome_1	7831393	7794290	37083	37104
scaffold1_size20154211_pilon	491512	510160	chromosome_1	7791594	7772918	18649	18677
scaffold1_size20154211_pilon	522266	523325	chromosome_1	7742696	7741638	1060	1059
scaffold1_size20154211_pilon	524215	549168	chromosome_1	7741534	7716571	24954	24964
scaffold1_size20154211_pilon	549176	550687	chromosome_1	7716470	7714960	1512	1511
scaffold1_size20154211_pilon	551377	580190	chromosome_1	7714973	7686156	28814	28818
scaffold1_size20154211_pilon	581023	598229	chromosome_1	7686055	7668846	17207	17210
scaffold1_size20154211_pilon	599130	622754	chromosome_1	7668745	7645122	23625	23624
scaffold1_size20154211_pilon	622720	630230	chromosome_1	7645020	7637508	7511	7513
scaffold1_size20154211_pilon	630236	631583	chromosome_1	7637395	7636048	1348	1348
scaffold1_size20154211_pilon	636665	677319	chromosome_1	7636050	7595382	40655	40669
scaffold1_size20154211_pilon	677469	679825	chromosome_1	7595246	7592883	2357	2364
scaffold1_size20154211_pilon	683126	754195	chromosome_1	7592782	7521696	71070	71087
scaffold1_size20154211_pilon	754310	983982	chromosome_1	7521595	7291888	229673	229708
scaffold1_size20154211_pilon	987718	989346	chromosome_1	7287994	7286366	1629	1629
scaffold1_size20154211_pilon	991388	1088974	chromosome_1	7286265	7188670	97587	97596
scaffold1_size20154211_pilon	1089679	1091988	chromosome_1	7186606	7184297	2310	2310
scaffold1_size20154211_pilon	1183014	1353411	chromosome_1	7146564	6976149	170398	170416
scaffold1_size20154211_pilon	1356913	1359663	chromosome_1	6961364	6964169	2751	2806
scaffold1_size20154211_pilon	1365388	1368193	chromosome_1	6969897	6972647	2806	2751
scaffold1_size20154211_pilon	1391976	1392410	chromosome_1	6919550	6919988	435	439
scaffold1_size20154211_pilon	1409558	1409996	chromosome_1	6937138	6937572	439	435
scaffold1_size20154211_pilon	1413645	1415504	chromosome_1	6914790	6912912	1860	1879
scaffold1_size20154211_pilon	1438905	1597710	chromosome_1	6880332	6721514	158806	158819
scaffold1_size20154211_pilon	1616988	1745284	chromosome_1	6709077	6580749	128297	128329
scaffold1_size20154211_pilon	1754442	1755617	chromosome_1	6571601	6572762	1176	1162
scaffold1_size20154211_pilon	1758785	1759946	chromosome_1	6575931	6577106	1162	1176
scaffold1_size20154211_pilon	1764785	1779625	chromosome_1	6561097	6546248	14841	14850
scaffold1_size20154211_pilon	1780186	1793865	chromosome_1	6508821	6495136	13680	13686
scaffold1_size20154211_pilon	1803244	1816716	chromosome_1	6486369	6472885	13473	13485
scaffold1_size20154211_pilon	1817388	1827825	chromosome_1	6472784	6462350	10438	10435
scaffold1_size20154211_pilon	1833383	1852880	chromosome_1	6462244	6442751	19498	19494
scaffold1_size20154211_pilon	1855201	2027495	chromosome_1	6436381	6264046	172295	172336
scaffold1_size20154211_pilon	2027490	2286949	chromosome_1	6258389	5998841	259460	259549
scaffold1_size20154211_pilon	2305163	2351075	chromosome_1	5995699	5949746	45913	45954
scaffold1_size20154211_pilon	2352908	2353541	chromosome_1	5948998	5948364	634	635
scaffold1_size20154211_pilon	2358215	2381542	chromosome_1	5947257	5923909	23328	23349
scaffold1_size20154211_pilon	2387199	2445915	chromosome_1	5923914	5865147	58717	58768
scaffold1_size20154211_pilon	2457747	2589958	chromosome_1	5860284	5728071	132212	132214
scaffold1_size20154211_pilon	2589903	2901297	chromosome_1	5728169	5416774	311395	311396
scaffold1_size20154211_pilon	2985233	3089990	chromosome_1	5332764	5228030	104758	104735
scaffold1_size20154211_pilon	3090092	3164232	chromosome_1	5227926	5153786	74141	74141
scaffold1_size20154211_pilon	3188460	3202631	chromosome_1	5129559	5115418	14172	14142
scaffold1_size20154211_pilon	3202654	3251250	chromosome_1	5115510	5066905	48597	48606
scaffold1_size20154211_pilon	3251436	3327831	chromosome_1	5066804	4990452	76396	76353
scaffold1_size20154211_pilon	3327821	3408486	chromosome_1	4990351	4909684	80666	80668
scaffold1_size20154211_pilon	3408619	3460247	chromosome_1	4909583	4857926	51629	51658
scaffold1_size20154211_pilon	3460343	3464598	chromosome_1	4857825	4853571	4256	4255
scaffold1_size20154211_pilon	3468310	3655990	chromosome_1	4849533	4661839	187681	187695
scaffold1_size20154211_pilon	3655985	3801720	chromosome_1	4660443	4514694	145736	145750
scaffold1_size20154211_pilon	3801737	3889849	chromosome_1	4514774	4426658	88113	88117
scaffold1_size20154211_pilon	3918540	4022789	chromosome_1	4396064	4291807	104250	104258
scaffold1_size20154211_pilon	4022893	4070481	chromosome_1	4291810	4244214	47589	47597
scaffold1_size20154211_pilon	4070410	4143101	chromosome_1	4244327	4171624	72692	72704
scaffold1_size20154211_pilon	4145852	4169077	chromosome_1	4171518	4148289	23226	23230
scaffold1_size20154211_pilon	4169066	4312649	chromosome_1	4148346	4004728	143584	143619
scaffold1_size20154211_pilon	4312678	4314634	chromosome_1	4004627	4002671	1957	1957
scaffold1_size20154211_pilon	4316010	4321372	chromosome_1	4001394	3996032	5363	5363
scaffold1_size20154211_pilon	4324048	4613987	chromosome_1	3995931	3705977	289940	289955
scaffold1_size20154211_pilon	4616337	4643015	chromosome_1	3705876	3679178	26679	26699
scaffold1_size20154211_pilon	4643008	4681384	chromosome_1	3679229	3640806	38377	38424
scaffold1_size20154211_pilon	4681486	4716095	chromosome_1	3640806	3606205	34610	34602
scaffold1_size20154211_pilon	4720050	5034070	chromosome_1	3602290	3288245	314021	314046
scaffold1_size20154211_pilon	5034491	5160695	chromosome_1	3288251	3162013	126205	126239
scaffold1_size20154211_pilon	5168871	5208511	chromosome_1	3158781	3119128	39641	39654
scaffold1_size20154211_pilon	5209774	5350973	chromosome_1	3117928	2976720	141200	141209
scaffold1_size20154211_pilon	5409504	5527569	chromosome_1	2918146	2800087	118066	118060
scaffold1_size20154211_pilon	5527743	5582059	chromosome_1	2799985	2745657	54317	54329
scaffold1_size20154211_pilon	5582255	5592270	chromosome_1	2732153	2722144	10016	10010
scaffold1_size20154211_pilon	5592536	5775243	chromosome_1	2722043	2539326	182708	182718
scaffold1_size20154211_pilon	5781243	5860517	chromosome_1	2539326	2460047	79275	79280
scaffold1_size20154211_pilon	5860626	6009789	chromosome_1	2459943	2310766	149164	149178
scaffold1_size20154211_pilon	6009854	6057674	chromosome_1	2310802	2262979	47821	47824
scaffold1_size20154211_pilon	6057547	6177228	chromosome_1	2263154	2143496	119682	119659
scaffold1_size20154211_pilon	6195080	6251039	chromosome_1	2125521	2069545	55960	55977
scaffold1_size20154211_pilon	6251093	6289923	chromosome_1	2069444	2030600	38831	38845
scaffold1_size20154211_pilon	6290034	6291027	chromosome_1	2030472	2029478	994	995
scaffold1_size20154211_pilon	6292920	6294283	chromosome_1	2028002	2026633	1364	1370
scaffold1_size20154211_pilon	6294498	6320966	chromosome_1	2026532	2000058	26469	26475
scaffold1_size20154211_pilon	6325289	6333065	chromosome_1	1990856	1983068	7777	7789
scaffold1_size20154211_pilon	6333337	6348888	chromosome_1	1982967	1967420	15552	15548
scaffold1_size20154211_pilon	6351076	6380931	chromosome_1	1966686	1936796	29856	29891
scaffold1_size20154211_pilon	6414676	6436971	chromosome_1	1903144	1880784	22296	22361
scaffold1_size20154211_pilon	6437023	6658283	chromosome_1	1880683	1659416	221261	221268
